Medium	GrowthCondition	PlotLetter	TechRep	BioRep	OD600
MMM+Lactate(0.5%)	Nitrate3mM	MMM	1	LAC2	0.088
MMM+Lactate(0.5%)	Nitrate3mM	MMM	2	LAC2	0.085
MMM+Lactate(0.5%)	Nitrate3mM	MMM	3	LAC2	0.093
MMM+Lactate(0.5%)	Nitrate3mM	MMM	1	LAC3	0.086
MMM+Lactate(0.5%)	Nitrate3mM	MMM	2	LAC3	0.091
MMM+Lactate(0.5%)	Nitrate3mM	MMM	3	LAC3	0.086
MMM+Lactate(0.5%)	Nitrate3mM	MMM	1	Blank	0.051
MMM+Lactate(0.5%)	Nitrate3mM	MMM	2	Blank	0.051
MMM+Lactate(0.5%)	Nitrate3mM	MMM	3	Blank	0.051
MMM+CAA+Lactate	Nitrate3mM	MMM	1	LAC1	0.112
MMM+CAA+Lactate	Nitrate3mM	MMM	2	LAC1	0.107
MMM+CAA+Lactate	Nitrate3mM	MMM	3	LAC1	0.096
MMM+CAA+Lactate	Nitrate3mM	MMM	1	LAC2	0.089
MMM+CAA+Lactate	Nitrate3mM	MMM	2	LAC2	0.089
MMM+CAA+Lactate	Nitrate3mM	MMM	3	LAC2	0.094
MMM+CAA+Lactate	Nitrate3mM	MMM	1	LAC3	0.109
MMM+CAA+Lactate	Nitrate3mM	MMM	2	LAC3	0.091
MMM+CAA+Lactate	Nitrate3mM	MMM	3	LAC3	0.093
MMM+CAA+Lactate	Nitrate3mM	MMM	1	Blank	0.049
MMM+CAA+Lactate	Nitrate3mM	MMM	2	Blank	0.051
MMM+CAA+Lactate	Nitrate3mM	MMM	3	Blank	0.05
